0,1,2,3,4
-2.561724349899681e-11,0.0,-6.046358997237742e-11,-8.383433078615575e-11,-4.7135450568809406e-11
-6.549799434837125e-11,0.0,-9.248942267014022e-11,-6.171201453883046e-11,-5.249012247435308e-11
-2.0088649547965455e-11,0.0,-7.735452446688235e-11,-1.4007988624292376e-11,-5.174879888457086e-11
-9.50371002540627e-11,0.0,-3.6050766627354854e-11,-3.4822965565228347e-11,-5.611979552522208e-11
-8.57613840718884e-11,0.0,-5.877284981196822e-11,-1.0529912752298552e-11,-3.823767272773925e-11
-1.2458295004140262e-10,0.0,-6.171048950990117e-11,-1.0345951854590086e-11,-2.262725731935925e-12
-8.529632404024195e-11,0.0,-5.245786699751053e-11,-1.0342227304000571e-11,-2.4326023792558496e-12
-9.566552482051598e-11,0.0,-6.387954159421688e-11,-7.196384226260874e-11,-1.4544241348679629e-11
-3.417638774827435e-11,0.0,-7.855312362333713e-11,-7.331567562182737e-11,-2.6300793072520205e-12
-5.26599057475714e-12,0.0,-1.13120917752734e-10,-1.7021170483773735e-10,-2.6843845111227407e-12
-1.9488368018064478e-11,0.0,-1.317246020115979e-10,-2.1642488924539955e-10,-2.723068859976933e-12
-6.118733166983066e-11,0.0,-8.542479010947476e-11,-1.701808141500798e-10,-2.7489529188581056e-12
-6.009111961397386e-11,0.0,-3.4318536467020047e-11,-8.259986390586974e-11,-2.7694194355430993e-12
-2.3190497555223346e-11,0.0,-1.7370437282135359e-12,-7.739079574755321e-11,-2.7876606626194055e-12
-2.3881488045030942e-11,0.0,-2.576923929512438e-12,-8.172398458248947e-11,-2.8063528003633933e-12
-5.82355715459053e-11,0.0,-3.877866644857016e-12,-7.947622562208749e-11,-2.825408745481499e-12
-1.0708791179357369e-10,0.0,-5.1631345898179025e-11,-9.510814189685468e-11,-2.844682137156486e-12
-1.602536261833252e-10,0.0,-5.943451608725563e-12,-8.497542380985144e-11,-2.5459915368541912e-11
-1.8201097681866233e-10,0.0,-6.719288202823607e-12,-5.699188365013502e-11,-2.8866543222901136e-12
-1.1434687778903745e-10,0.0,-5.1763716264881725e-11,-3.677183815331902e-11,-4.342923121696756e-11
-9.723424741987565e-11,0.0,-7.022536121492187e-11,-1.2825519489715222e-11,-8.337419305056542e-11
-8.395639872749572e-11,0.0,-4.643714524682418e-11,-1.2721064072638635e-11,-2.933581300133001e-12
-1.4251920352188342e-10,0.0,-4.3389065185001905e-11,-2.820527325520497e-11,-2.9776398391274913e-12
-1.120379643244133e-10,0.0,-7.829177286106706e-11,-1.2818123149267064e-11,-3.0195404604903862e-12
-1.1598557959847902e-10,0.0,-1.0919294621033414e-10,-1.3117761024126063e-11,-3.063036314744661e-12
-1.613139297348377e-10,0.0,-1.0867669663166628e-10,-1.3414886563802892e-11,-3.1436371242871966e-12
-9.780765956254333e-11,0.0,-7.62576561512553e-11,-1.3656102013382354e-11,-2.31078373539253e-11
-3.456467997082978e-11,0.0,-5.950011250277171e-11,-1.3788578792326535e-11,-5.5765784984609214e-11
-8.775095026195913e-11,0.0,-7.998048373794113e-12,-1.3793614664949961e-11,-7.210373422786265e-11
-2.6243213550279025e-11,0.0,-2.840143103527189e-11,-1.36845787717031e-11,-4.200129929502417e-11
-1.6295863962260222e-11,0.0,-1.0018353204123625e-11,-4.298460018319159e-11,-1.9086859338177192e-11
-7.853851408995132e-11,0.0,-1.1280491941599794e-11,-1.3447750480031155e-11,-5.0991270368616825e-12
-1.3257706295852293e-10,0.0,-1.2992854984861792e-11,-7.709991264995044e-11,-5.268896977380386e-12
